Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.)
71.001	8.154685257695801
71.05	8.156900842948456
71.1	8.19863755155544
71.15	8.372099071292382
71.201	8.314607331098122
71.25	8.235065766349235
71.3	8.18533405772984
71.35	8.23324485762638
71.4	8.493062559433044
71.45	8.181273161091793
71.5	8.2035702640407
71.55	8.22777245975697
71.6	8.377352178429682
71.65	8.299557035714216
71.7	8.356925043965436
71.75	8.283759282790308
71.8	8.22552810187128
71.85	8.113075099805032
71.9	8.179423718206188
71.95	8.211227474533226
72.0	8.337694065077178
72.05	8.196079765420572
72.1	8.27392609436225
72.151	8.180363716517663
72.201	8.085113805735883
72.255	8.286693283258577
72.3	8.295311646696607
72.35	8.365613686329114
72.4	8.136716829816663
72.45	8.236052794755551
72.5	8.27958929089903
72.551	8.160382468438385
72.6	8.216827573909443
72.65	8.182409608554309
72.7	8.203732055048619
72.75	8.196305477291295
72.8	8.165561855527768
72.85	8.214131503733256
72.901	8.142990516653429
72.95	8.272930049540125
73.0	8.252776571309923
73.05	8.137738574443471
73.1	8.185193232766718
73.15	8.138501262789518
73.2	8.278919602321515
73.25	8.344589305324693
73.3	8.022242960898225
73.35	8.088140423493149
73.4	8.236479062633796
73.451	8.20827834428523
73.5	8.31079460723731
73.551	8.063203226964605
73.601	7.971103602676823
73.65	8.17425964661719
73.7	8.224116491113781
73.75	8.144094818264822
73.8	8.237873472137704
73.851	8.143403019844067
73.9	8.114178645500143
73.95	8.172045628384392
74.0	8.269859459571297
74.05	8.199976447897159
74.1	8.017939852611857
74.15	8.195907159363927
74.2	8.15872187652081
74.251	7.991520517936509
74.3	8.071331195979848
74.35	8.199031546881208
74.4	7.990775120965644
74.451	8.22104495325355
74.5	8.306391464959558
74.55	8.080258155487426
74.6	8.086209606620429
74.65	8.258097441504729
74.7	8.113220298215484
74.75	8.186445276359867
74.8	8.132192652623049
74.85	8.184986584293776
74.9	8.432008332892247
74.951	8.385539836211011
75.0	8.29557644173737
75.05	8.267251381452432
75.1	8.112216112112002
75.151	8.158200016137329
75.201	8.21559505731782
75.25	8.094269485933879
75.3	8.20062717904507
75.35	8.162994877550485
75.4	8.153229725487787
75.45	8.117275472871285
75.5	8.332205228978154
75.551	8.098075249171893
75.6	8.202296543383992
75.65	8.335061076910193
75.701	8.100264590650072
75.75	8.18918212545298
75.801	8.134470977782314
75.85	8.268378662585764
75.9	8.315890067424284
75.95	8.147523348728523
76.0	8.164289200625566
76.05	8.137898621242554
76.1	8.103701601373867
76.151	8.243031417597289
76.2	8.262297013783225
76.25	8.091848351760543
76.3	8.177011321737574
76.35	8.364035290799945
76.4	8.288586292430685
76.451	8.177939098197529
76.5	8.216711370879732
76.551	8.06210430934462
76.6	8.055885406371583
76.65	8.304759354478362
76.7	8.005601313105359
76.75	8.01532321156503
76.8	8.1359052810082
76.85	8.085907088250776
76.901	8.068853206018188
76.951	8.133839927303939
77.0	8.12516694489316
77.05	8.312967540527149
77.1	8.024265268708453
77.15	8.302485054910974
77.2	8.363421837415869
77.251	8.015020794986656
77.3	8.102684097316304
77.35	8.059668647009511
